id,Year,Month,Day,Hour,Minute,Tsunami,Country,LocationName,Latitude,Longitude,FocalDepth,Magnitude,Deaths,Missing,Injuries,Damage,HousesDestroyed,HousesDamaged
95.0,2014.0,4.0,3.0,2.0,43.0,5558.0,CHILE,CHILE:  NORTHERN:  IQUIQUE,-20.571,-70.493,22.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0
96.0,2014.0,10.0,9.0,2.0,14.0,5577.0,CHILE,CHILE: EASTER ISLAND REGION,-32.108,-110.811,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,2015.0,9.0,16.0,22.0,54.0,5590.0,CHILE,CHILE:  CENTRAL,-31.573,-71.674,22.0,8.3,7.0,1.0,14.0,600.0,2305.0,10044.0
98.0,2015.0,11.0,11.0,1.0,54.0,5592.0,CHILE,CHILE:  LA SERENA,-29.507,-72.007,12.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
99.0,2016.0,12.0,25.0,14.0,22.0,5637.0,CHILE,CHILE,-43.406,-73.941,38.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0
100.0,2017.0,4.0,24.0,21.0,38.0,5647.0,CHILE,CHILE:  VALPARAISO,-33.038,-72.062,28.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
101.0,2017.0,8.0,2.0,7.0,15.0,0.0,CHILE,CHILE:  SANTIAGO,-33.212,-70.626,92.0,5.4,1.0,0.0,0.0,0.0,0.0,0.0
102.0,2019.0,1.0,20.0,1.0,32.0,0.0,CHILE,CHILE:  COQUIMBO. LA SERENA,-30.04,-71.382,63.0,6.7,2.0,0.0,0.0,0.0,0.0,1061.0
103.0,2019.0,6.0,14.0,0.0,19.0,5710.0,CHILE,CHILE:  COQUIMBO,-30.056,-72.082,11.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0
104.0,2019.0,9.0,26.0,16.0,36.0,0.0,CHILE,CHILE:  SOUTH CENTRAL,-40.815,-72.002,129.0,6.1,1.0,0.0,0.0,0.0,0.0,0.0
105.0,2019.0,9.0,29.0,15.0,57.0,0.0,CHILE,CHILE:  CONCEPCION,-35.473,-73.162,11.0,6.8,1.0,0.0,0.0,0.0,0.0,0.0
